NOC21_2 digit,NOC21_5 digit
72 Technical trades and transportation officers and controllers,72106 Welders and related machine operators
72 Technical trades and transportation officers and controllers,72200 Electricians (except industrial and power system)
72 Technical trades and transportation officers and controllers,72201 Industrial electricians
72 Technical trades and transportation officers and controllers,72202 Power system electricians
72 Technical trades and transportation officers and controllers,72203 Electrical power line and cable workers
72 Technical trades and transportation officers and controllers,72204 Telecommunications line and cable installers and repairers
72 Technical trades and transportation officers and controllers,72205 Telecommunications equipment installation and cable television service technicians
72 Technical trades and transportation officers and controllers,72300 Plumbers
72 Technical trades and transportation officers and controllers,"72301 Steamfitters, pipefitters and sprinkler system installers"
72 Technical trades and transportation officers and controllers,72302 Gas fitters
72 Technical trades and transportation officers and controllers,72310 Carpenters
72 Technical trades and transportation officers and controllers,72311 Cabinetmakers
72 Technical trades and transportation officers and controllers,72320 Bricklayers
72 Technical trades and transportation officers and controllers,72321 Insulators
72 Technical trades and transportation officers and controllers,72400 Construction millwrights and industrial mechanics
72 Technical trades and transportation officers and controllers,72401 Heavy-duty equipment mechanics
72 Technical trades and transportation officers and controllers,"72402 Heating, refrigeration and air conditioning mechanics"
72 Technical trades and transportation officers and controllers,72403 Railway carmen/women
72 Technical trades and transportation officers and controllers,72404 Aircraft mechanics and aircraft inspectors
72 Technical trades and transportation officers and controllers,72405 Machine fitters
72 Technical trades and transportation officers and controllers,72406 Elevator constructors and mechanics
72 Technical trades and transportation officers and controllers,"72410 Automotive service technicians, truck and bus mechanics and mechanical repairers"
72 Technical trades and transportation officers and controllers,"72411 Auto body collision, refinishing and glass technicians and damage repair estimators"
72 Technical trades and transportation officers and controllers,72420 Oil and solid fuel heating mechanics
72 Technical trades and transportation officers and controllers,72421 Appliance servicers and repairers
72 Technical trades and transportation officers and controllers,72422 Electrical mechanics
72 Technical trades and transportation officers and controllers,"72423 Motorcycle, all-terrain vehicle and other related mechanics"
72 Technical trades and transportation officers and controllers,72429 Other small engine and small equipment repairers
72 Technical trades and transportation officers and controllers,72500 Crane operators
72 Technical trades and transportation officers and controllers,72501 Water well drillers
72 Technical trades and transportation officers and controllers,"72600 Air pilots, flight engineers and flying instructors"
72 Technical trades and transportation officers and controllers,72601 Air traffic controllers and related occupations
72 Technical trades and transportation officers and controllers,"72602 Deck officers, water transport"
72 Technical trades and transportation officers and controllers,"72603 Engineer officers, water transport"
72 Technical trades and transportation officers and controllers,72604 Railway traffic controllers and marine traffic regulators
72 Technical trades and transportation officers and controllers,72999 Other technical trades and related occupations
73 General trades,73100 Concrete finishers
73 General trades,73101 Tilesetters
73 General trades,"73102 Plasterers, drywall installers and finishers and lathers"
73 General trades,73110 Roofers and shinglers
73 General trades,73111 Glaziers
73 General trades,73112 Painters and decorators (except interior decorators)
73 General trades,73113 Floor covering installers
73 General trades,73200 Residential and commercial installers and servicers
73 General trades,73201 General building maintenance workers and building superintendents
73 General trades,73202 Pest controllers and fumigators
73 General trades,73209 Other repairers and servicers
73 General trades,73300 Transport truck drivers
73 General trades,"73301 Bus drivers, subway operators and other transit operators"
73 General trades,73310 Railway and yard locomotive engineers
73 General trades,73311 Railway conductors and brakemen/women
73 General trades,73400 Heavy equipment operators
73 General trades,73401 Printing press operators
73 General trades,"73402 Drillers and blasters - surface mining, quarrying and construction"
"74 Mail and message distribution, other transport equipment operators and related maintenance workers",74100 Mail and parcel sorters and related occupations
"74 Mail and message distribution, other transport equipment operators and related maintenance workers",74101 Letter carriers
"74 Mail and message distribution, other transport equipment operators and related maintenance workers",74102 Couriers and messengers
"74 Mail and message distribution, other transport equipment operators and related maintenance workers",74200 Railway yard and track maintenance workers
"74 Mail and message distribution, other transport equipment operators and related maintenance workers",74201 Water transport deck and engine room crew
"74 Mail and message distribution, other transport equipment operators and related maintenance workers",74202 Air transport ramp attendants
"74 Mail and message distribution, other transport equipment operators and related maintenance workers",74203 Automotive and heavy truck and equipment parts installers and servicers
"74 Mail and message distribution, other transport equipment operators and related maintenance workers",74204 Utility maintenance workers
