"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","Newfoundland and Labrador i2",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"31102 General practitioners and family physicians","725","138,000","154,400"
"31103 Veterinarians","65","126,000","120,000"
"3111 Dentists, optometrists and audiologists","405","105,000","139,000"
"31110 Dentists","230","147,000","182,000"
"31111 Optometrists","35","138,000","110,000"
"31112 Audiologists and speech-language pathologists","140","82,000","73,000"
"3112 Pharmacists and dietitians","765","95,000","89,600"
"31120 Pharmacists","665","98,000","92,600"
"31121 Dietitians and nutritionists","100","75,500","68,000"
"312 Therapy and assessment professionals","915","75,500","68,200"
"3120 Therapy and assessment professionals","915","75,500","68,200"
"31200 Psychologists","180","83,000","81,000"
"31201 Chiropractors","40","52,400","66,000"
"31202 Physiotherapists","300","78,500","70,500"
"31203 Occupational therapists","220","87,000","73,500"
"31204 Kinesiologists and other professional occupations in therapy and assessment","160","42,000","38,400"
"31209 Other professional occupations in health diagnosing and treating","0","0","0"
"313 Nursing and allied health professionals","6,085","86,000","77,600"
"3130 Nursing and allied health professionals","6,085","86,000","77,600"
"31300 Nursing coordinators and supervisors","155","93,000","79,000"
"31301 Registered nurses and registered psychiatric nurses","5,750","85,000","77,200"
"31302 Nurse practitioners","155","106,000","94,000"
"31303 Physician assistants, midwives and allied health professionals","30","0","68,000"
"32 Technical occupations in health","5,250","55,600","53,550"
"321 Technical occupations in health (except practitioners of natural healing)","4,900","57,200","55,150"
"3210 Technical occupations in therapy and assessment","3,085","55,200","52,500"
"32100 Opticians","95","47,200","45,000"
"32101 Licensed practical nurses","1,750","58,000","51,450"
"32102 Paramedical occupations","635","55,600","64,000"
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","135","81,000","80,000"
"32104 Animal health technologists and veterinary technicians","210","31,800","31,800"
"32109 Other technical occupations in therapy and assessment","260","36,800","36,400"
"3211 Technical occupations in dental health care","345","54,400","58,200"
"32110 Denturists","45","86,000","78,000"
"32111 Dental hygienists and dental therapists","260","59,600","58,800"
"32112 Dental technologists and technicians","45","38,800","35,000"
"3212 Medical technologists and technicians","1,465","66,500","59,950"
"32120 Medical laboratory technologists","510","71,500","63,600"
"32121 Medical radiation technologists","375","72,000","70,000"
"32122 Medical sonographers","85","85,000","84,000"
"32123 Cardiology technologists and electrophysiological diagnostic technologists","60","60,800","62,000"
"32124 Pharmacy technicians","380","39,200","40,600"
"32129 Other medical technologists and technicians","50","63,600","50,000"
"322 Practitioners of natural healing","350","27,400","31,800"
"3220 Practitioners of natural healing","350","27,400","31,800"
"32200 Traditional Chinese medicine practitioners and acupuncturists","15","0","60,000"
"32201 Massage therapists","300","27,400","32,800"
"32209 Other practitioners of natural healing","35","4,120","14,000"
"33 Assisting occupations in support of health services","6,270","30,400","30,520"
