"","occupation","employment","median.income","mean.income","geography","noc_code","nchar"
"282","63201 Butchers - retail and wholesale",10605,33600,33600,"Canada","63201",5
"283","63202 Bakers",44755,21200,24520,"Canada","63202",5
"284","63210 Hairstylists and barbers",86365,12700,17200,"Canada","63210",5
"285","63211 Estheticians, electrologists and related occupations",57440,10900,16400,"Canada","63211",5
"286","63220 Shoe repairers and shoemakers",10010,46800,50000,"Canada","63220",5
"287","63221 Upholsterers",3380,28800,31280,"Canada","63221",5
"288","64100 Retail salespersons and visual merchandisers",629295,17600,28560,"Canada","64100",5
"289","64101 Sales and account representatives - wholesale trade (non-technical)",61250,57200,69300,"Canada","64101",5
"290","64200 Tailors, dressmakers, furriers and milliners",17180,16200,19240,"Canada","64200",5
"291","64201 Image, social and other personal consultants",2115,19400,39160,"Canada","64201",5
"292","64300 Maîtres d'hôtel and hosts/hostesses",20175,5560,8280,"Canada","64300",5
"293","64301 Bartenders",28865,10900,13960,"Canada","64301",5
"294","64310 Travel counsellors",17695,23000,29080,"Canada","64310",5
"295","64311 Pursers and flight attendants",11840,38800,41880,"Canada","64311",5
"296","64312 Airline ticket and service agents",11160,31400,36960,"Canada","64312",5
"297","64313 Ground and water transport ticket agents, cargo service representatives and related clerks",1715,54000,53200,"Canada","64313",5
"298","64314 Hotel front desk clerks",16715,20000,22240,"Canada","64314",5
"299","64320 Tour and travel guides",2670,7300,14980,"Canada","64320",5
"300","64321 Casino workers",6995,12800,18100,"Canada","64321",5
"301","64322 Outdoor sport and recreational guides",2375,14800,19100,"Canada","64322",5
"302","64400 Customer services representatives - financial institutions",58750,35200,38160,"Canada","64400",5
"303","64401 Postal services representatives",7375,31800,35080,"Canada","64401",5
"304","64409 Other customer and information services representatives",243205,34000,36880,"Canada","64409",5
"305","64410 Security guards and related security service occupations",116450,32000,35160,"Canada","64410",5
"306","65100 Cashiers",358760,11100,17360,"Canada","65100",5
"307","65101 Service station attendants",8975,12700,17800,"Canada","65101",5
"308","65102 Store shelf stockers, clerks and order fillers",225115,16400,20920,"Canada","65102",5
"309","65109 Other sales related occupations",27970,13200,26640,"Canada","65109",5
"310","65200 Food and beverage servers",127700,9900,13320,"Canada","65200",5
"311","65201 Food counter attendants, kitchen helpers and related support occupations",391160,10600,15900,"Canada","65201",5
"312","65202 Meat cutters and fishmongers - retail and wholesale",6845,34800,35000,"Canada","65202",5
"313","65210 Support occupations in accommodation, travel and facilities set-up services",3115,18800,29400,"Canada","65210",5
"314","65211 Operators and attendants in amusement, recreation and sport",34780,8200,16600,"Canada","65211",5
"315","65220 Pet groomers and animal care workers",25095,13400,19680,"Canada","65220",5
"316","65229 Other support occupations in personal services",2220,7750,16840,"Canada","65229",5
"317","65310 Light duty cleaners",251930,17400,22440,"Canada","65310",5
"318","65311 Specialized cleaners",40005,21000,26080,"Canada","65311",5
"319","65312 Janitors, caretakers and heavy-duty cleaners",108925,30200,32000,"Canada","65312",5
"320","65320 Dry cleaning, laundry and related occupations",17285,25400,26760,"Canada","65320",5
"321","65329 Other service support occupations",24945,13100,20680,"Canada","65329",5
"322","70010 Construction managers",88725,76000,85400,"Canada","70010",5
"323","70011 Home building and renovation managers",47050,24000,37240,"Canada","70011",5
"324","70012 Facility operation and maintenance managers",73020,65000,74700,"Canada","70012",5
"325","70020 Managers in transportation",39275,78000,88400,"Canada","70020",5
"326","70021 Postal and courier services managers",4010,64500,68100,"Canada","70021",5
"327","72010 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",13520,74500,79200,"Canada","72010",5
"328","72011 Contractors and supervisors, electrical trades and telecommunications occupations",22355,79000,82400,"Canada","72011",5
"329","72012 Contractors and supervisors, pipefitting trades",7485,82000,82600,"Canada","72012",5
"330","72013 Contractors and supervisors, carpentry trades",14550,59200,60950,"Canada","72013",5
"331","72014 Contractors and supervisors, other construction trades, installers, repairers and servicers",42120,47600,54900,"Canada","72014",5
"332","72020 Contractors and supervisors, mechanic trades",25520,74500,79800,"Canada","72020",5
"333","72021 Contractors and supervisors, heavy equipment operator crews",42270,81000,86000,"Canada","72021",5
"334","72022 Supervisors, printing and related occupations",2030,56400,57150,"Canada","72022",5
"335","72023 Supervisors, railway transport operations",1225,96000,97600,"Canada","72023",5
"336","72024 Supervisors, motor transport and other ground transit operators",10425,62400,64800,"Canada","72024",5
"337","72025 Supervisors, mail and message distribution occupations",8380,59600,56500,"Canada","72025",5
"338","72100 Machinists and machining and tooling inspectors",37095,54000,55250,"Canada","72100",5
"339","72101 Tool and die makers",10045,60000,61550,"Canada","72101",5
"340","72102 Sheet metal workers",18990,53600,54600,"Canada","72102",5
"341","72103 Boilermakers",3810,62000,68400,"Canada","72103",5
"342","72104 Structural metal and platework fabricators and fitters",6555,54800,55900,"Canada","72104",5
"343","72105 Ironworkers",12925,61200,63100,"Canada","72105",5
"344","72106 Welders and related machine operators",87165,49600,53800,"Canada","72106",5
"345","72200 Electricians (except industrial and power system)",97680,53200,55900,"Canada","72200",5
"346","72201 Industrial electricians",21960,89000,91100,"Canada","72201",5
"347","72202 Power system electricians",4975,95000,95400,"Canada","72202",5
"348","72203 Electrical power line and cable workers",13300,107000,105700,"Canada","72203",5
"349","72204 Telecommunications line and cable installers and repairers",9700,59600,59000,"Canada","72204",5
"350","72205 Telecommunications equipment installation and cable television service technicians",20485,63200,62650,"Canada","72205",5
"351","72300 Plumbers",50615,52400,54150,"Canada","72300",5
"352","72301 Steamfitters, pipefitters and sprinkler system installers",20825,67000,68900,"Canada","72301",5
"353","72302 Gas fitters",6620,56400,61500,"Canada","72302",5
"354","72310 Carpenters",155690,40400,43000,"Canada","72310",5
"355","72311 Cabinetmakers",15900,34000,34960,"Canada","72311",5
"356","72320 Bricklayers",16300,41200,44680,"Canada","72320",5
"357","72321 Insulators",8825,48400,51800,"Canada","72321",5
"358","72400 Construction millwrights and industrial mechanics",65385,74000,77900,"Canada","72400",5
