"occupation","employment","median.income","mean.income","geography"
"43200 Sheriffs and bailiffs",5290,68000,65300,"Canada"
"43201 Correctional service officers",24605,82000,78400,"Canada"
"43202 By-law enforcement and other regulatory officers",10520,65500,63450,"Canada"
"43203 Border services, customs, and immigration officers",10285,85000,75100,"Canada"
"43204 Operations members of the Canadian Armed Forces",35160,71500,71000,"Canada"
"44 Care providers and legal and public protection support occupations",108225,17800,23820,"Canada"
"441 Home care provider occupations",99060,16000,21860,"Canada"
"4410 Home care provider occupations",99060,16000,21860,"Canada"
"44100 Home child care providers",49205,10300,16200,"Canada"
"44101 Home support workers, caregivers and related occupations",49850,23600,27440,"Canada"
"442 Primary combat members of the Canadian Armed Forces",9170,45600,44960,"Canada"
"4420 Primary combat members of the Canadian Armed Forces",9170,45600,44960,"Canada"
"44200 Primary combat members of the Canadian Armed Forces",9170,45600,44960,"Canada"
"45 Student monitors, crossing guards and related occupations",30255,6320,10580,"Canada"
"451 Student monitors, crossing guards and related occupations",30255,6320,10580,"Canada"
"4510 Student monitors, crossing guards and related occupations",30255,6320,10580,"Canada"
"45100 Student monitors, crossing guards and related occupations",30255,6320,10580,"Canada"
"5 Occupations in art, culture, recreation and sport",581980,24400,38280,"Canada"
"50 Specialized middle management occupations in art, culture, recreation and sport",25355,55600,67700,"Canada"
"500 Specialized middle management occupations in art, culture, recreation and sport",25355,55600,67700,"Canada"
"5001 Managers in art, culture, recreation and sport",25355,55600,67700,"Canada"
"50010 Library, archive, museum and art gallery managers",4815,62400,66500,"Canada"
"50011 Managers - publishing, motion pictures, broadcasting and performing arts",7820,60400,74300,"Canada"
"50012 Recreation, sports and fitness program and service directors",12720,50800,64000,"Canada"
"51 Professional occupations in art and culture",147870,32400,43600,"Canada"
"511 Professional occupations in art and culture",147870,32400,43600,"Canada"
"5110 Librarians, archivists, conservators and curators",12520,64000,62000,"Canada"
"51100 Librarians",8945,68000,65400,"Canada"
"51101 Conservators and curators",2005,54000,53050,"Canada"
