"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","New Brunswick i5",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","50","122,000","96,000"
"3 Health occupations","34,395","46,400","55,050"
"30 Specialized middle management occupations in health care","820","85,000","82,000"
"300 Specialized middle management occupations in health care","820","85,000","82,000"
"3001 Managers in health care","820","85,000","82,000"
"30010 Managers in health care","820","85,000","82,000"
"31 Professional occupations in health","14,095","77,000","79,400"
"311 Health treating and consultation services professionals","3,970","98,000","115,100"
"3110 Physicians and veterinarians","1,980","132,000","143,400"
"31100 Specialists in clinical and laboratory medicine","590","180,000","196,000"
"31101 Specialists in surgery","145","138,000","142,000"
"31102 General practitioners and family physicians","1,030","120,000","125,600"
"31103 Veterinarians","215","87,000","86,000"
"3111 Dentists, optometrists and audiologists","665","87,000","91,600"
"31110 Dentists","300","115,000","114,000"
"31111 Optometrists","85","106,000","102,000"
"31112 Audiologists and speech-language pathologists","285","70,000","65,000"
"3112 Pharmacists and dietitians","1,325","91,000","84,600"
"31120 Pharmacists","1,015","99,000","94,600"
"31121 Dietitians and nutritionists","315","57,600","52,400"
"312 Therapy and assessment professionals","1,695","64,500","61,150"
"3120 Therapy and assessment professionals","1,695","64,500","61,150"
"31200 Psychologists","410","81,000","73,200"
"31201 Chiropractors","90","43,200","45,000"
"31202 Physiotherapists","535","67,000","63,000"
"31203 Occupational therapists","430","71,000","65,600"
"31204 Kinesiologists and other professional occupations in therapy and assessment","140","38,800","38,500"
"31209 Other professional occupations in health diagnosing and treating","95","16,200","27,600"
"313 Nursing and allied health professionals","8,425","74,500","66,200"
"3130 Nursing and allied health professionals","8,425","74,500","66,200"
"31300 Nursing coordinators and supervisors","285","76,000","70,500"
"31301 Registered nurses and registered psychiatric nurses","7,925","74,000","65,600"
"31302 Nurse practitioners","180","100,000","89,000"
"31303 Physician assistants, midwives and allied health professionals","35","62,400","60,000"
"32 Technical occupations in health","8,310","47,200","46,040"
"321 Technical occupations in health (except practitioners of natural healing)","7,510","49,200","48,360"
"3210 Technical occupations in therapy and assessment","5,050","48,800","46,800"
"32100 Opticians","220","38,400","39,200"
"32101 Licensed practical nurses","2,750","47,600","42,080"
"32102 Paramedical occupations","915","68,000","69,200"
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","420","66,500","63,800"
"32104 Animal health technologists and veterinary technicians","420","27,800","26,300"
"32109 Other technical occupations in therapy and assessment","320","38,400","32,800"
"3211 Technical occupations in dental health care","535","41,600","41,200"
"32110 Denturists","30","0","72,000"
"32111 Dental hygienists and dental therapists","445","42,000","40,600"
"32112 Dental technologists and technicians","55","29,800","27,000"
"3212 Medical technologists and technicians","1,925","56,800","54,450"
"32120 Medical laboratory technologists","550","69,500","66,000"
"32121 Medical radiation technologists","440","65,500","61,600"
"32122 Medical sonographers","105","68,000","60,000"
